Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1740,Rio de Janeiro,Luanda,Rio de Janeiro,511,443,,,"0,00978",,,
1728,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,516,447,,,"0,009784736",,,
1769,Rio de Janeiro,Luanda,Rio de Janeiro,306,286,,,"0,0098",,,
1765,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,303,268,,,"0,0099",,,
1726,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,407,341,,,"0,009925558",,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,301,266,,,"0,00997",,,
1758,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",500,443,,,"0,01",57,22,185
1769,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,400,374,,,"0,01",,,
1727,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",402,349,,,"0,010050251",,,
1800,Rio de Janeiro,Luanda,Rio de Janeiro,431,396,,,"0,0101",35,43,248
1705,Port Louis,"Whydah, Ouidah",Buenos Aires,209,197,"0,3846154","0,61538464","0,010152284",12,,198
1758,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",294,275,,,"0,0102",,,
